Goodbye,BYE_FORMAL
Farewell,BYE_FORMAL
Have a good day,BYE_FORMAL
Have a nice day,BYE_FORMAL
Take care,BYE_FORMAL
Have a great day,BYE_FORMAL
Bye,BYE_FORMAL
Bye Bye,BYE_FORMAL
See you later,BYE_INFORMAL
Talk to you later,BYE_INFORMAL
Have a good one,BYE_FORMAL
So long,BYE_INFORMAL
All right then,BYE_FORMAL
Catch you later,BYE_INFORMAL
Peace out,BYE_INFORMAL
Peace,BYE_INFORMAL
I am out,BYE_INFORMAL
Adios,BYE_FORMAL
Ciao,BYE_FORMAL
Au revoir,BYE_FORMAL
Sayonara,BYE_FORMAL
Take it easy,BYE_INFORMAL
See you soon,BYE_INFORMAL
Talk to you soon,BYE_INFORMAL
It was nice talking to you,BYE_FORMAL
Good day,BYE_FORMAL
Good evening,BYE_FORMAL
Good night,BYE_FORMAL
Cheers,BYE_FORMAL
Cheerio,BYE_FORMAL
Have a wonderful day,BYE_FORMAL
